                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                  3.305,                 5.4224,                 4.2621,                      0,                      0,                      0,                      0,                 3.3726,                 5.9748,                 4.1875,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 2.9717,                 5.3743,                 4.2057,                      0,                      0,                      0,                      0,                 3.3726,                 5.9748,                 4.1875,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 3.0022,                 5.4625,                 4.2686,                      0,                      0,                      0,                      0,                 3.3732,                 5.9757,                 4.1885,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 3.5361,                 5.4632,                  4.306,                      0,                      0,                      0,                      0,                 3.3732,                 5.9757,                 4.1885,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 3.5666,                 5.5271,                 4.2044,                      0,                      0,                      0,                      0,                 3.3732,                 5.9757,                 4.1885,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 3.4165,                 5.5004,                 4.2456,                      0,                      0,                      0,                      0,                 3.3791,                 5.9767,                 4.1904,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 3.2281,                 5.2808,                 4.3067,                      0,                      0,                      0,                      0,                 3.3791,                 5.9767,                 4.1904,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 3.1004,                 5.5436,                 4.2778,                      0,                      0,                      0,                      0,                 3.3791,                 5.9767,                 4.1904,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 3.2317,                 5.2976,                 4.2879,                      0,                      0,                      0,                      0,                 3.3792,                 5.9767,                 4.1932,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 3.1298,                 5.4283,                 4.2388,                      0,                      0,                      0,                      0,                 3.3792,                 5.9767,                 4.1932,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 3.0999,                 5.3893,                 4.3125,                      0,                      0,                      0,                      0,                 3.3792,                 5.9767,                 4.1932,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 3.2422,                 5.3727,                 4.2647,                      0,                      0,                      0,                      0,                 3.3773,                 5.9764,                  4.192,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 3.1666,                 5.3621,                 4.2674,                      0,                      0,                      0,                      0,                 3.3773,                 5.9764,                  4.192,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 3.1688,                 5.5869,                 4.2884,                      0,                      0,                      0,                      0,                 3.3773,                 5.9764,                  4.192,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 2.7094,                 5.4825,                 4.3013,                      0,                      0,                      0,                      0,                   3.37,                 5.9758,                 4.1926,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 3.3764,                  5.411,                  4.347,                      0,                      0,                      0,                      0,                   3.37,                 5.9758,                 4.1926,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 3.4773,                 5.4341,                 4.2737,                      0,                      0,                      0,                      0,                   3.37,                 5.9758,                 4.1926,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 3.1006,                 5.5653,                 4.3238,                      0,                      0,                      0,                      0,                 3.3746,                 5.9758,                 4.1951,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 3.1535,                 5.3818,                 4.2833,                      0,                      0,                      0,                      0,                 3.3746,                 5.9758,                 4.1951,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 3.0253,                 5.8286,                 4.2889,                      0,                      0,                      0,                      0,                 3.3746,                 5.9758,                 4.1951,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 3.2706,                 5.4905,                 4.3185,                      0,                      0,                      0,                      0,                 3.3746,                 5.9758,                 4.1951,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 3.0084,                 5.4555,                 4.2596,                      0,                      0,                      0,                      0,                 3.3731,                 5.9782,                 4.1934,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 2.9522,                 5.4155,                 4.2001,                      0,                      0,                      0,                      0,                 3.3731,                 5.9782,                 4.1934,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 3.1453,                 5.2343,                 4.3612,                      0,                      0,                      0,                      0,                 3.3731,                 5.9782,                 4.1934,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 2.8054,                 5.5747,                 4.3815,                      0,                      0,                      0,                      0,                 3.3731,                 5.9782,                 4.1934,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 2.6501,                 5.8463,                 4.5762,                      0,                      0,                      0,                      0,                 3.3784,                 5.9808,                 4.1908,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                  3.148,                 5.5644,                 4.2579,                      0,                      0,                      0,                      0,                 3.3784,                 5.9808,                 4.1908,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 2.8277,                 5.7442,                 4.2485,                      0,                      0,                      0,                      0,                 3.3784,                 5.9808,                 4.1908,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 2.9079,                  5.486,                 4.3001,                      0,                      0,                      0,                      0,                 3.3784,                 5.9808,                 4.1908,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 2.8589,                 5.5667,                 4.2838,                      0,                      0,                      0,                      0,                 3.3731,                 5.9846,                 4.1907,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 2.8031,                 5.7948,                  4.223,                      0,                      0,                      0,                      0,                 3.3731,                 5.9846,                 4.1907,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 2.8459,                 5.6773,                 4.2549,                      0,                      0,                      0,                      0,                 3.3731,                 5.9846,                 4.1907,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 3.0276,                 5.7234,                 4.3137,                      0,                      0,                      0,                      0,                 3.3731,                 5.9846,                 4.1907,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 2.9261,                 5.4965,                 4.2157,                      0,                      0,                      0,                      0,                 3.3809,                 5.9808,                  4.188,             2.3444e-06,             2.3444e-06,             2.3444e-06
