                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.2305,                0.77776,                  1.016,                0.87356,                0.51318,                0.51591,                0.55664,                0.33833,                 0.4311,                0.45227,                0.43861,                0.23216,                 1.2378,                 1.0014,                 1.9597,                 1.2302,              0.0012277,              0.0012277,              0.0012277
                     56,                 1.2829,                0.79415,                 1.0802,                0.92375,                0.51318,                0.51591,                0.55664,                0.33833,                 0.4311,                0.45227,                0.43861,                0.23216,                 1.2378,                 1.0014,                 1.9597,                 1.2302,              0.0012273,              0.0012273,              0.0012273
                     57,                 1.0958,                0.77778,                0.98566,                0.83199,                0.49994,                0.54155,                0.54496,                0.33115,                0.40788,                0.44988,                0.43871,                0.22696,                 1.2465,                 1.0628,                 2.3157,                 1.2596,              0.0012269,              0.0012269,              0.0012269
                     58,                 1.1407,                 0.7419,                0.96694,                0.83307,                0.47579,                0.51086,                0.54477,                0.33288,                0.36885,                 0.4434,                0.43165,                0.22732,                 1.2838,                 1.1039,                 3.2252,                 1.3515,              0.0012265,              0.0012265,              0.0012265
                     59,                 1.1406,                0.83704,                 1.0382,                0.83296,                0.47579,                0.51086,                0.54477,                0.33288,                0.36885,                 0.4434,                0.43165,                0.22732,                 1.2838,                 1.1039,                 3.2252,                 1.3515,              0.0012261,              0.0012261,              0.0012261
                     60,                 1.1916,                0.73492,                 1.0469,                0.81199,                0.45082,                0.51823,                0.54397,                0.31418,                0.42253,                0.43781,                0.44682,                0.22515,                 1.2905,                 1.0566,                  3.263,                 1.3568,              0.0012257,              0.0012257,              0.0012257
                     61,                 1.1828,                0.68974,                 1.0042,                0.82152,                0.48602,                0.51458,                0.53162,                0.28837,                0.37946,                0.44495,                0.41974,                0.21308,                 1.3103,                 1.0772,                  2.518,                 1.3604,              0.0012252,              0.0012252,              0.0012252
                     62,                 1.1744,                0.78135,                 1.0442,                0.81106,                0.48602,                0.51458,                0.53162,                0.28837,                0.37946,                0.44495,                0.41974,                0.21308,                 1.3103,                 1.0772,                  2.518,                 1.3604,              0.0012248,              0.0012248,              0.0012248
                     63,                  1.155,                0.74558,                 1.0015,                0.81714,                0.44281,                0.53142,                0.49017,                0.29563,                0.38671,                0.45826,                0.45002,                0.20075,                 1.3009,                 0.9279,                 2.8501,                 1.5846,              0.0012244,              0.0012244,              0.0012244
                     64,                 1.1397,                0.74488,                0.99374,                0.83367,                0.49025,                 0.5219,                0.56659,                0.30122,                0.40527,                0.45465,                0.44858,                0.19827,                  1.281,                0.87551,                 2.3214,                 1.4592,               0.001224,               0.001224,               0.001224
                     65,                 1.2996,                 0.8435,                  1.012,                0.88213,                0.49025,                 0.5219,                0.56659,                0.30122,                0.40527,                0.45465,                0.44858,                0.19827,                  1.281,                0.87551,                 2.3214,                 1.4592,              0.0012236,              0.0012236,              0.0012236
                     66,                 1.2562,                0.75808,                 1.0351,                0.86528,                0.46599,                0.52042,                0.55472,                0.31268,                0.39529,                0.44363,                0.43559,                0.21371,                  1.304,                 1.1614,                 2.1925,                  1.389,              0.0012232,              0.0012232,              0.0012232
                     67,                 1.2114,                0.85249,                0.94278,                0.84727,                0.46599,                0.52042,                0.55472,                0.31268,                0.39529,                0.44363,                0.43559,                0.21371,                  1.304,                 1.1614,                 2.1925,                  1.389,              0.0012228,              0.0012228,              0.0012228
                     68,                 1.1543,                0.78267,                0.99678,                0.82686,                0.52173,                0.51638,                0.55057,                0.34779,                0.41796,                0.44213,                0.43639,                 0.2299,                 1.2241,                0.99447,                 2.5577,                  1.354,              0.0012224,              0.0012224,              0.0012224
                     69,                 1.1585,                0.75993,                 1.0028,                0.83978,                0.46673,                0.51324,                0.56145,                0.36884,                0.36022,                0.43692,                0.43824,                 0.2507,                 1.1952,                0.98329,                 2.4528,                 1.3234,               0.001222,               0.001222,               0.001222
                     70,                  1.196,                0.90812,                 1.0186,                 0.8509,                0.46673,                0.51324,                0.56145,                0.36884,                0.36022,                0.43692,                0.43824,                 0.2507,                 1.1952,                0.98329,                 2.4528,                 1.3234,              0.0012215,              0.0012215,              0.0012215
                     71,                 1.2033,                0.74192,                 1.0438,                0.83955,                0.44017,                0.50676,                0.54074,                0.35084,                0.30634,                0.41598,                0.39853,                0.21698,                 1.2544,                 1.0325,                  2.425,                 1.3399,              0.0012211,              0.0012211,              0.0012211
                     72,                 1.2058,                0.90817,                 1.0156,                0.81868,                0.43204,                0.53776,                0.53285,                 0.3374,                0.31513,                0.41361,                0.40248,                0.21151,                 1.2731,                 1.1102,                 2.3096,                 1.4067,              0.0012207,              0.0012207,              0.0012207
                     73,                 1.1932,                 0.8947,                0.96213,                0.79566,                0.43204,                0.53776,                0.53285,                 0.3374,                0.31513,                0.41361,                0.40248,                0.21151,                 1.2731,                 1.1102,                 2.3096,                 1.4067,              0.0012203,              0.0012203,              0.0012203
                     74,                 1.1734,                0.82064,                0.97979,                0.85371,                0.39538,                0.56033,                0.54363,                0.29923,                0.32396,                0.45727,                0.43339,                0.22392,                 1.3186,                 1.0151,                 2.5524,                 1.5845,              0.0012199,              0.0012199,              0.0012199
                     75,                 1.1903,                0.80803,                  1.027,                0.82137,                0.41554,                0.54424,                0.53579,                0.32441,                0.31816,                0.45493,                0.41088,                0.21288,                 1.2116,                 1.0458,                 2.1341,                 1.5206,              0.0012195,              0.0012195,              0.0012195
                     76,                 1.0626,                0.78628,                 0.8884,                0.83617,                0.41554,                0.54424,                0.53579,                0.32441,                0.31816,                0.45493,                0.41088,                0.21288,                 1.2116,                 1.0458,                 2.1341,                 1.5206,              0.0012191,              0.0012191,              0.0012191
                     77,                 1.1764,                0.85178,                0.94011,                0.81377,                0.39792,                0.52846,                0.53203,                0.34496,                0.28347,                0.44184,                 0.4018,                0.20629,                  1.267,                 1.1593,                 2.1656,                 1.5477,              0.0012186,              0.0012186,              0.0012186
                     78,                 1.2194,                0.85338,                  1.015,                0.83496,                0.53225,                0.47762,                0.52854,                0.32435,                0.31879,                0.37869,                0.38152,                0.20327,                 1.3356,                 1.2285,                 2.1596,                  1.585,              0.0012182,              0.0012182,              0.0012182
                     79,                 1.1605,                0.87464,                0.96326,                0.80872,                0.53225,                0.47762,                0.52854,                0.32435,                0.31879,                0.37869,                0.38152,                0.20327,                 1.3356,                 1.2285,                 2.1596,                  1.585,              0.0012178,              0.0012178,              0.0012178
                     80,                 1.1222,                0.68902,                0.97167,                0.81756,                0.40135,                0.53788,                0.52449,                0.32193,                0.31195,                 0.4474,                 0.4085,                0.21818,                 1.2605,                 1.0133,                 2.1119,                 1.4422,              0.0012174,              0.0012174,              0.0012174
                     81,                 1.1246,                0.73626,                0.95251,                0.82949,                0.38935,                0.55379,                0.56239,                0.34005,                0.31394,                0.47646,                0.45541,                0.25107,                  1.253,                 1.0305,                 2.3778,                 1.5467,               0.001217,               0.001217,               0.001217
                     82,                 1.1246,                0.78155,                0.89632,                0.81609,                0.38935,                0.55379,                0.56239,                0.34005,                0.31394,                0.47646,                0.45541,                0.25107,                  1.253,                 1.0305,                 2.3778,                 1.5467,              0.0012166,              0.0012166,              0.0012166
